,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,Created Date
31,Video showing learning and jobs labels rendering from a search on the Windows 10 app... #learning #datascience #learningdesign #dataanalytics #edtech #skillsofthefuture #learninganalytics #futureoflearning https://t.co/9zUm79GkUM,SkillsLabel,"['learning', 'datascience', 'learningdesign', 'dataanalytics', 'edtech', 'skillsofthefuture', 'learninganalytics', 'futureoflearning']",3,8,https://twitter.com/SkillsLabel/status/1370521365309165568,2021-03-12
32,"Coming 15 March from ISACA: fundamentals certificates in five tech domains. Learn #computing, #networks, #cybersecurity, #datascience and #softwaredev to start your career &amp; find new opportunities. #students #newgrads #ITpros #ITcertification #ITCA https://t.co/7MBjBGMKoY",isacaSG,"['computing', 'networks', 'cybersecurity', 'datascience', 'softwaredev', 'students', 'newgrads', 'ITpros', 'ITcertification', 'ITCA']",3,2,https://twitter.com/isacaSG/status/1370160856684716039,2021-03-11
33,How to Trust Data and Your Feelings at the Same Time - Kristi Pelzel #DataScience #TrustInTech #AI  https://t.co/67muyQTTAu,UpskillingToday,"['DataScience', 'TrustInTech', 'AI']",3,2,https://twitter.com/UpskillingToday/status/1369437646544584708,2021-03-09
34,Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R https://t.co/5wWgw9W7m8 #datascience #ad,Datascience__,"['datascience', 'ad']",3,1,https://twitter.com/Datascience__/status/1371246269302181888,2021-03-14
35,"Artificial intelligence leads NATO's new strategy for emerging and disruptive tech - C4ISRNet

Read more here: https://t.co/bg4MMkAVUT

#ArtificialIntelligence #AI #DataScience #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",SuzanneC0leman,"['ArtificialIntelligence', 'AI', 'DataScience', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",3,1,https://twitter.com/SuzanneC0leman/status/1371245645353353221,2021-03-14
36,Modern Data Science with R https://t.co/7p90rFl0mT  #DataScience,machinelearnflx,['DataScience'],2,3,https://twitter.com/machinelearnflx/status/1369799916504158212,2021-03-10
37,"“Right solution wrong time”. The factors that make companies to not derive business value in AI, Big Data and Machine learning #DataScience #datastrategy #datamanagement https://t.co/hRihEh7y6i",Laurabayon4,"['DataScience', 'datastrategy', 'datamanagement']",2,2,https://twitter.com/Laurabayon4/status/1370162022969716737,2021-03-11
38,"A system able to develop an artistic sense would represent a big step into more complex AI and provide a better understanding of the human brain.

#AI #Artificialintelligence #DataScience #DataAnalytics #DigitalTransformation #tech #DeepLearning #MachineLearning #ML https://t.co/k2xonMXzXk",SadiqAlesia,"['AI', 'Artificialintelligence', 'DataScience', 'DataAnalytics', 'DigitalTransformation', 'tech', 'DeepLearning', 'MachineLearning', 'ML']",2,2,https://twitter.com/SadiqAlesia/status/1369435986371969033,2021-03-09
39,"“Every mile traveled produces data that can be harnessed for safety, efficiency, &amp; mobility for all.” See how @BoozAllen &amp; Federal Leaders are planning for the Future of #Transportation:

https://t.co/TheQr0ZiE4
———
#BigData #MachineLearning #AI #DataScience #IoT #IoTPL #IIoT #5G https://t.co/Ymrtxt4zg7",KirkDBorne,"['Transportation', 'BigData', 'MachineLearning', 'AI', 'DataScience', 'IoT', 'IoTPL', 'IIoT', '5G']",2,1,https://twitter.com/KirkDBorne/status/1370886501559599107,2021-03-13
40,"TAFE Queensland prepares for jobs of the future | TAFE Queensland https://t.co/5D34DjzzkW 

#careeropportunities #blockchaineducation # #innovation #blockchain #ai #datascience #technology #jobs #machinelearning #digital #australia #careers #bccollective",BlockchainColl2,"['careeropportunities', 'blockchaineducation', 'innovation', 'blockchain', 'ai', 'datascience', 'technology', 'jobs', 'machinelearning', 'digital', 'australia', 'careers', 'bccollective']",2,1,https://twitter.com/BlockchainColl2/status/1369798048944185347,2021-03-10
41,"What CEOs Need to Know About the #Cloud in 2021
While companies’ shift to the #cloud has been gradual over the last decade, Accenture’s research sh ..
https://t.co/axS0q5swfj
#datascience #Datawarehouse

https://t.co/WDdNeKdzsz",biconnections,"['Cloud', 'cloud', 'datascience', 'Datawarehouse']",1,3,https://twitter.com/biconnections/status/1370885141061582855,2021-03-13
42,"I'm beyond excited to officially introduce Modeltime H2O, our H2O AutoML (automatic #machinelearning) forecasting backend to Modeltime. Learn about our growing #timeseries forecasting ecosystem's new addition: Modeltime H2O.  https://t.co/gwUXwmtBdp

#rstats #python #datascience https://t.co/AnIVWbYByF",mdancho84,"['machinelearning', 'timeseries', 'rstats', 'python', 'datascience']",1,2,https://twitter.com/mdancho84/status/1371440301055877122,2021-03-15
43,"Extra Crunch roundup: Coupang and Roblox debut, driving GPT-3 adoption, startup how-tos, more https://t.co/vmaFCWjuwv #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/kZZUvDUv1B",genericgranola,"['AI', 'MachineLearning', 'DataScience', 'ArtificialIntelligence']",1,2,https://twitter.com/genericgranola/status/1370524126306258945,2021-03-12
44,"Data Science Festival (@DataScienceFest)
lots of interesting #DataScience related stuff
https://t.co/b3r7T0oi5x",QlikAlt,['DataScience'],1,2,https://twitter.com/QlikAlt/status/1370159440612225028,2021-03-11
45,Grokking Machine Learning https://t.co/aMC6sTKGph #datascience #ad,Datascience__,"['datascience', 'ad']",1,2,https://twitter.com/Datascience__/status/1369797412294950912,2021-03-10
46,"https://t.co/zX1wqtWH09 neurosocial audits provide #data #visualization graphs of the neuro coordinates for social ID of dominant brain regions.

We math check bias for #Cognitive #Diversity &amp; #Inclusion.
  
#STEM #Tech #DataScience #SocEnt #Impact #Culture #inspiration4contest https://t.co/qsJQP3fHUx",BiMathX,"['data', 'visualization', 'Cognitive', 'Diversity', 'Inclusion', 'STEM', 'Tech', 'DataScience', 'SocEnt', 'Impact', 'Culture', 'inspiration4contest']",1,1,https://twitter.com/BiMathX/status/1370162491188187137,2021-03-11
47,6 #OpenSource #DataScience Projects That Provide an Edge to Your Portfolio https://t.co/y3RgsZoysa #TechJunkieBlog https://t.co/qjumADTAGf,techjunkiejh,"['OpenSource', 'DataScience', 'TechJunkieBlog']",1,1,https://twitter.com/techjunkiejh/status/1370159365974556672,2021-03-11
